Model,Corpus,N,MacroF1,CI_lo,CI_hi
LSTM,Combined,584,0.5806,0.5443,0.6104
LSTM,Rwanda,461,0.4183,0.3646,0.465
LSTM,Canada,123,0.4984,0.4548,0.5337
RandomForest,Combined,584,0.6945,0.6623,0.7201
RandomForest,Rwanda,461,0.5547,0.5126,0.5846
RandomForest,Canada,123,0.6156,0.549,0.6467
XGBoost,Combined,584,0.6928,0.6609,0.7175
XGBoost,Rwanda,461,0.5643,0.517,0.597
XGBoost,Canada,123,0.6427,0.5553,0.6717
SVM,Combined,584,0.6838,0.6491,0.7117
SVM,Rwanda,461,0.5501,0.4986,0.5862
SVM,Canada,123,0.5884,0.5332,0.6273
BERT,Combined,584,0.7079,0.6778,0.7311
BERT,Rwanda,461,0.6071,0.5652,0.6382
BERT,Canada,123,0.5754,0.5356,0.6076
Ensemble,Combined,584,0.7828,0.7509,0.8086
Ensemble,Rwanda,461,0.6811,0.6398,0.7092
Ensemble,Canada,123,0.632,0.5808,0.6674
